		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	theta[99,1]	0.7708	0.1769	0.01173	0.4313	0.7625	1.159	501	1550
	theta[100,1]	1.025	0.2434	0.014	0.5476	1.022	1.482	501	1550
	theta[101,1]	-1.105	0.178	0.00976	-1.472	-1.1	-0.7745	501	1550
	theta[102,1]	0.4679	0.1915	0.01341	0.1071	0.4537	0.8753	501	1550
	theta[103,1]	0.05658	0.1736	0.01117	-0.261	0.05055	0.3976	501	1550
	theta[104,1]	-1.475	0.2086	0.01327	-1.894	-1.483	-1.077	501	1550
	theta[105,1]	0.2685	0.181	0.01239	-0.07245	0.2694	0.624	501	1550
	theta[106,1]	-0.2937	0.1617	0.009746	-0.6336	-0.2859	0.009331	501	1550
	theta[107,1]	1.116	0.2126	0.01217	0.684	1.111	1.536	501	1550
	theta[108,1]	-0.5823	0.1706	0.01037	-0.9414	-0.5896	-0.2392	501	1550
	theta[109,1]	-0.2544	0.1813	0.01164	-0.5774	-0.2603	0.1278	501	1550
	theta[110,1]	-0.6924	0.1873	0.01091	-1.07	-0.6938	-0.3073	501	1550
	theta[111,1]	-0.132	0.1651	0.00843	-0.4366	-0.1232	0.1863	501	1550
	theta[112,1]	0.3085	0.1518	0.00714	0.0116	0.3093	0.6132	501	1550
	theta[113,1]	-0.932	0.1815	0.0113	-1.296	-0.9202	-0.5851	501	1550
	theta[114,1]	0.7774	0.1843	0.009652	0.3945	0.7873	1.135	501	1550
	theta[115,1]	-0.8971	0.1673	0.01095	-1.239	-0.9077	-0.5741	501	1550
	theta[116,1]	-0.8237	0.1827	0.01053	-1.169	-0.8243	-0.4671	501	1550
	theta[117,1]	1.102	0.2142	0.013	0.6908	1.099	1.52	501	1550
	theta[118,1]	-0.832	0.164	0.01051	-1.162	-0.8214	-0.5278	501	1550
	theta[119,1]	0.5836	0.1957	0.01271	0.2152	0.5851	0.9681	501	1550
	theta[120,1]	-0.1136	0.1606	0.009798	-0.4475	-0.1059	0.1903	501	1550
	theta[121,1]	0.6896	0.1892	0.01156	0.3047	0.6841	1.072	501	1550
	theta[122,1]	1.815	0.1959	0.01245	1.468	1.799	2.243	501	1550
	theta[123,1]	1.329	0.1841	0.0146	0.9781	1.327	1.706	501	1550
	theta[124,1]	-0.1798	0.1994	0.01394	-0.5481	-0.1912	0.2301	501	1550
	theta[125,1]	-2.003	0.2651	0.01588	-2.532	-1.983	-1.529	501	1550
	theta[126,1]	2.223	0.2256	0.01259	1.796	2.219	2.684	501	1550
	theta[127,1]	0.693	0.1909	0.009873	0.3492	0.6898	1.083	501	1550
	theta[128,1]	0.4711	0.2408	0.01611	-0.009121	0.4642	0.9622	501	1550
	theta[129,1]	-0.00262	0.1667	0.01026	-0.3092	-6.707E-4	0.3262	501	1550
	theta[130,1]	0.426	0.1789	0.01019	0.06809	0.4418	0.7678	501	1550
	theta[131,1]	-0.3708	0.1818	0.009762	-0.7066	-0.3645	-0.02494	501	1550
	theta[132,1]	0.4543	0.1821	0.01089	0.08989	0.4516	0.8481	501	1550
	theta[133,1]	-0.9243	0.1925	0.01066	-1.31	-0.9197	-0.5639	501	1550
	theta[134,1]	-1.169	0.1998	0.01034	-1.579	-1.167	-0.7993	501	1550
	theta[135,1]	0.8238	0.1986	0.01373	0.4345	0.8188	1.218	501	1550
	theta[136,1]	1.481	0.2159	0.0152	1.053	1.478	1.913	501	1550
	theta[137,1]	-0.3693	0.1938	0.0109	-0.7377	-0.3734	0.01623	501	1550
	theta[138,1]	-1.292	0.1887	0.01014	-1.695	-1.292	-0.9391	501	1550
	theta[139,1]	0.6981	0.1821	0.009355	0.3349	0.7059	1.052	501	1550
	theta[140,1]	-0.1654	0.1598	0.01003	-0.4899	-0.1666	0.1548	501	1550
	theta[141,1]	-1.784	0.271	0.01905	-2.347	-1.763	-1.298	501	1550
	theta[142,1]	0.02295	0.2178	0.01455	-0.3755	0.01879	0.4567	501	1550
	theta[143,1]	-0.6206	0.1865	0.01008	-0.9953	-0.6164	-0.2791	501	1550
	theta[144,1]	-0.6098	0.1702	0.009822	-0.9202	-0.6135	-0.2785	501	1550
	theta[145,1]	-1.104	0.2047	0.01447	-1.532	-1.103	-0.7052	501	1550
	theta[146,1]	1.766	0.228	0.01631	1.28	1.779	2.189	501	1550
	theta[147,1]	-0.183	0.1581	0.00945	-0.475	-0.1843	0.144	501	1550
	theta[148,1]	-1.558	0.2091	0.01284	-1.999	-1.544	-1.181	501	1550
	theta[149,1]	0.2151	0.167	0.009573	-0.1216	0.2209	0.5257	501	1550
	theta[150,1]	0.4122	0.1781	0.009963	0.0564	0.4087	0.7862	501	1550
	theta[151,1]	-0.835	0.1707	0.01052	-1.195	-0.8286	-0.5066	501	1550
	theta[152,1]	-2.28	0.3414	0.01918	-3.045	-2.264	-1.666	501	1550
	theta[153,1]	-0.6427	0.1598	0.01025	-0.9461	-0.6448	-0.3256	501	1550
	theta[154,1]	0.5783	0.1914	0.01136	0.2044	0.5688	0.959	501	1550
	theta[155,1]	-0.3375	0.1712	0.00999	-0.6777	-0.3341	0.013	501	1550
	theta[156,1]	-0.4052	0.1815	0.009978	-0.7635	-0.4097	-0.0126	501	1550
	theta[157,1]	0.5648	0.1852	0.01216	0.2157	0.5606	0.9252	501	1550
	theta[158,1]	-1.167	0.1905	0.01201	-1.575	-1.159	-0.8235	501	1550
	theta[159,1]	1.01	0.1747	0.01124	0.6972	1.002	1.351	501	1550
	theta[160,1]	-0.02226	0.1709	0.01035	-0.3537	-0.02045	0.3342	501	1550
